school_name,school_id,all_subjects,latitude,longitude
Sta. Cruz ES,104828,186.26,14.83996384,120.8677679
Sta. Rita ES,104829,176.47,14.85344599,120.86188
Tabang ES,104830,170.92,14.831486,120.86407
Tabe ES,104831,175.72,14.83696111,120.8860028
Tiaong ES,104832,170.16,14.837,120.886
Tuktukan ES,104833,171.06,14.82702754,120.8914864
Abulalas ES,104834,188.38,14.8562939,120.7645822
Carillo ES,104835,176.45,14.857507,120.760155
Hangga ES,104837,187.86,14.84160556,120.7630361
Iba ES,104838,190.6,14.86883194,120.7641935
Iba Ibayo ES,104839,178.81,14.871547,120.77047
Iba Poblacion ES,104840,178.28,14.87811227,120.7606451
Palapat ES,104841,187.76,14.86331157,120.7508927
San Agustin ES,104842,184.9,14.8399001,120.7420473
San Juan ES,104844,185.55,14.8658982,120.7421369
San Pablo ES,104845,188.32,14.83185032,120.751674
San Sebastian ES,104846,187.03,14.83014444,120.7363327
Teodora Cruz ES,104847,176.21,14.85653354,120.7329073
Don Miguel ES,104848,163.92,14.82772207,120.7298448
Mercado ES,104850,178.9,14.825514,120.725745
Pugad ES,104851,182.49,14.76805151,120.7432944
Sagrada Familia ES,104852,183.47,14.81702328,120.744498
San Jose ES,104853,187.91,14.8304707,120.7326255
San Nicolas ES,104854,183.15,14.81757931,120.7298437
San Pascual ES,104855,184.11,14.8141073,120.7162992
San Roque ES,104856,162.31,14.813886,120.724945
Sta. Elena ES,104857,168.94,14.8167537,120.7542298
Sta. Monica ES,104858,153.11,14.8390737,120.7378183
Tampok ES,104859,184.42,14.84927222,120.7348833
Tibaguin ES,104860,137.29,14.77367271,120.752243
Victoriano C. Raymundo ES,104861,172.89,14.816881,120.721619
Abangan Norte ES,104900,181.4,14.765629,120.934799
Abangan Sur ES,104901,178.56,14.76386093,120.9425877
FSS Patulo ES,104902,143.11,14.782321,121.027206
Ibayo ES,104903,135.56,14.752645,120.957542
Lambakin ES,104904,119.13,14.7654642,120.9712063
Lias ES,104906,171.64,14.759737,120.958988
Loma de Gato ES,104907,126.67,14.790316,121.007715
Patubig ES,104909,158.06,14.778756,120.960294
Prenza ES,104910,130.98,14.78316609,120.9840372
Saog ES,104911,167.18,14.76465945,120.9557612
Sta Rosa I ES,104912,148.28,14.779426,120.974754
Sta Rosa II ES,104913,133.31,14.780121,120.966125
Tabing Ilog ES,104914,163.82,14.76483335,120.9488359
Apugan ES,104939,166.02,14.861816,121.0951
Banahaw ES,104940,184.6,14.886878,121.105324
Bangkal ES,104941,186.31,14.926312,121.100189
Baraka ES,104942,159.42,14.908263,121.102058
Bitungol ES,104944,179.6,14.88214646,121.0612409
Coral ES,104946,175.41,14.922087,121.081337
FVR Phase 3 ES,104947,177.6,14.86293379,121.0456755
Kanyakan ES,104949,176.72,14.913384,121.073174
Matictic ES,104950,175.19,14.912016,121.059166
North Hills Village ES,104951,178.56,14.876369,121.050719
Norzagaray ES,104952,182.43,14.90813161,121.0440782
NPC ES,104953,156.7,14.906816,121.153549
Padling ES,104954,167.04,14.900992,121.057198
Partida ES,104955,182.79,14.893296,121.028664
Pinagtulayan ES,104956,180.73,14.934543,121.07122
San Mateo ES,104957,170.07,14.875159,121.126884
Sapang Kawayan ES,104958,177.2,14.890227,121.076401
Timoteo Policarpio MES,104959,178.61,14.860216,121.084534
Luis Gravador ES,104960,159.68,14.86675787,121.038768
Binuangan ES,104961,110.21,14.71702417,120.908843
Catanghalan ES,104962,164.66,14.70671481,120.9411082
Lawa ES,104963,146.21,14.72364332,120.9284623
Paco ES,104965,115.64,14.7297254,120.9230456
Panghulo ES,104966,164.42,14.6982199,120.9469221
San Pascual ES,104967,103.3,14.72063535,120.9295963
Tawiran ES,104968,171.35,14.744661,120.910454
Bagbaguin ES,104969,185.44,14.885214,120.920143
Bagong Barrio ES,104970,182.67,14.891912,120.954044
Bunsuran ES,104972,177.8,14.86256972,120.9359653
Cacarong ES,104973,170.57,14.9035885,120.9672916
Cupang ES,104974,184.94,14.895354,120.937157
Matias B. Salvador MES,104975,174.26,14.892617,120.966209
Malibo Bata ES,104977,192.37,14.84646512,120.9309016
Malibong Matanda ES,104978,184.54,14.847585,120.938675
Manatal ES,104979,182.69,14.87359279,120.9181742
Mapulang Lupa ES,104980,163.83,14.88028692,120.9650755
Masagana ES,104981,182.95,14.884219,120.92868
Masuso ES,104982,172.73,14.8820939,120.9401334
San Roque ES,104985,179.41,14.845224,120.813271
Siling Matanda ES,104986,185.02,14.892576,120.966232
Binakod ES,104987,184.86,14.781751,120.784317
Kapitangan ES,104988,188.26,14.864543,120.787618
Lantad ES,104989,183.43,14.82944444,120.7896361
Masukol ES,104990,186.89,14.76426572,120.7707678
Pinagtulayan ES,104992,164.64,14.836408,120.771591
Pinalagdan ES,104993,177.0,14.85257847,120.7789716
Pulo ES,104994,176.55,14.8367091,120.7798593
San Jose ES,104995,180.33,14.82427147,120.7907275
Sta. Cruz ES,104996,170.84,14.84958333,120.7896444
Sto. Niño ES,104997,188.83,14.837306,120.7905128
Sto. Rosario ES,104998,156.72,14.84601124,120.78797
Banga ES,105000,176.01,14.886832,120.870978
Bintog ES,105001,175.95,14.901325,120.8904508
Culianin ES,105002,174.86,14.91432962,120.8945747
Dampol ES,105003,163.64,14.899071,120.819633
Lagundi ES,105005,156.3,14.88336658,120.8218655
Lalangan ES,105006,184.27,14.87761852,120.8478485
Lumangbayan ES,105007,154.11,14.895106,120.854439
Parulan ES,105008,181.72,14.89082239,120.8753377
Plaridel ES,105009,156.69,14.88426723,120.8594342
Rueda ES,105010,165.75,14.90001937,120.8070828
San Jose ES,105011,154.45,14.902239,120.897842
Sipat ES,105012,158.25,14.897986,120.829705
Sto. Niño ES,105013,175.77,14.883575,120.838145
Tabang ES,105014,153.95,14.8745907,120.8622211
Balatong ES,105015,176.85,14.93150388,120.8437266
Dampol B ES,105016,174.68,14.9417629,120.8442899
Dulong Malabon ES,105017,175.06,14.920657,120.817557
Inaon ES,105018,177.92,14.944818,120.830697
M. Del Rosario MES,105019,188.63,14.896754,120.864815
